Predator,Prey,Reference,Method
Ascidians,Zooplankton,"Gili, J. M., Coma, R., Orejas, C., López-González, P. J., & Zabala, M. (2002). Are Antarctic suspension-feeding communities different from those elsewhere in the world? (pp. 104-116). Springer Berlin Heidelberg.",Gut content
Ascidians,Phytoplankton,"Tatian, M., Sahade, R., & Esnal, G. B. (2004). Diet components in the food of Antarctic ascidians living at low levels of primary production. Antarctic Science, 16(02), 123-128.",Gut content
Austrodoris kerguelensis,Rosella antartica,"McClintock, J. B., Amsler, C. D., Baker, B. J., & Van Soest, R. W. (2005). Ecology of Antarctic marine sponges: an overview. Integrative and Comparative Biology, 45(2), 359-368.",In situ observation
Austrodoris kerguelensis,Rosella sp.,"McClintock, J. B., Amsler, C. D., Baker, B. J., & Van Soest, R. W. (2005). Ecology of Antarctic marine sponges: an overview. Integrative and Comparative Biology, 45(2), 359-368.",In situ observation
Austrodoris kerguelensis,Mycale acerata,L. Torre (pers. comm.),In situ observation
Austrodoris kerguelensis,Haliclonidae,L. Torre (pers. comm.),In situ observation
Austrodoris kerguelensis,Dendrilla antartica,L. Torre (pers. comm.),In situ observation
Bovallia gigantea,Paradexamine sp.,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Eurymera monticulosa,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Pontogeneiella sp.,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Gondogeneia antarctica,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Gitanopsis antarctica,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Prostebbingia gracilis,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Bovallia gigantea,Waldeckia obesa,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes (Doctoral dissertation, Durham University).",Gut content
Chaenocephalus aceratus ,Euphausia superba,"Barrera-Oro, E. (2003). Analysis of dietary overlap in Antarctic fish (Notothenioidei) from the South Shetland Islands: no evidence of food competition. Polar Biology, 26(10), 631-637.",Gut content
Chaenocephalus aceratus ,Euphausia superba,"Flores, H., Kock, K. H., Wilhelms, S., & Jones, C. D. (2004). Diet of two icefish species from the South Shetland Islands and Elephant Island, Champsocephalus gunnari and Chaenocephalus aceratus. Polar Biology, 27(2), 119-129.",Gut content
Chaenocephalus aceratus ,Ophionotus victoriae,"Flores, H., Kock, K. H., Wilhelms, S., & Jones, C. D. (2004). Diet of two icefish species from the South Shetland Islands and Elephant Island, Champsocephalus gunnari and Chaenocephalus aceratus. Polar Biology, 27(2), 119-129.",Gut content
Chaenocephalus aceratus ,Mysida,"Flores, H., Kock, K. H., Wilhelms, S., & Jones, C. D. (2004). Diet of two icefish species from the South Shetland Islands and Elephant Island, Champsocephalus gunnari and Chaenocephalus aceratus. Polar Biology, 27(2), 119-129.",Gut content
Chaenocephalus aceratus ,Euphausia superba,"Kock, K. H., Barrera-Oro, E., Belchier, M., Collins, M. A., Duhamel, G., Hanchet, S., ... & Williams, R. (2012). The role of fish as predators of krill (Euphausia superba) and other pelagic resources in the Southern Ocean. CCAMLR Science, 19, 115-169",Gut content
Chaenocephalus aceratus ,Octopus sp.,L. Torre (pers. comm.),In situ observation
Copepods,Phytoplankton,"Hopkins, T. L. (1985). Food web of an Antarctic midwater ecosystem. Marine Biology, 89(2), 197-212.",Gut content
Copepods,Zooplankton,"Hopkins, T. L. (1985). Food web of an Antarctic midwater ecosystem. Marine Biology, 89(2), 197-212.",Gut content
Dendrilla antartica,Benthic diatoms,L. Torre (pers. comm.),In situ observation
Dendrilla antartica,Fresh detritus,L. Torre (pers. comm.),In situ observation
Diplasterias brucei,Neobuccinum eatoni,"Caspers, H. (1979). Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 839-840.",In situ observation
Euphausia superba,Phytoplankton,"Mauchline, J. (1979). Studies on Patches of Krill: Euphausia Superba Dana. publisher not identified.",Gut content
Euphausia superba,Zooplankton,"Price, H. J., Boyd, K. R., & Boyd, C. M. (1988). Omnivorous feeding behavior of the Antarctic krill Euphausia superba. Marine Biology, 97(1), 67-77.",In vitro observation
Glyptonotus antarcticus,Nereidae ,"Dearborn, J. H. (1967). Food and reproduction of Glyptonotus antarcticus (Crustacea: Isopoda) at McMurdo Sound, Antarctica. Transactions Roy. Soc. NZ, 8, 163-168.",In situ observation
Glyptonotus antarcticus,Necromass,"Dearborn, J. H. (1967). Food and reproduction of Glyptonotus antarcticus (Crustacea: Isopoda) at McMurdo Sound, Antarctica. Transactions Roy. Soc. NZ, 8, 163-168.",In situ observation
Glyptonotus antarcticus,Bovallia gigantea,"Bone, D. G. (1972). Aspects of the biology of the Antarctic amphipod Bovallia gigantia Pfeffer at Signy Island, South Orkney Islands.",Gut content
Glyptonotus antarcticus,Necromass,"Presler, P. (1986). Necrophagous invertebrates of the Admiralty Bay of King George Island(South Shetland Islands, Antarctica). Polish Polar Research/Polskie Badania Polarne, 7(1), 25-61.",In vitro observation
Gondogeneia antarctica,Iridaea cordata,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Myriogramme manginii,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Plocamium cartilagineum,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Adenocystis utricularis,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Desmarestia anceps,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Desmarestia antarctica,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Desmarestia menziesii,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Phaeurus antarcticus ,"Amsler, C. D., Iken, K., McClintock, J. B., Amsler, M. O., Peters, K. J., Hubbard, J. M., ... & Baker, B. J. (2005). Comprehensive evaluation of the palatability and chemical defenses of subtidal macroalgae from the Antarctic Peninsula. Marine ecology. Progress series, 294, 141-159.",In vitro observation
Gondogeneia antarctica,Gigartina skottsbergii,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Iridaea cordata,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Myriogramme manginii,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Palmaria decipiens,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Plocamium cartilagineum,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Desmarestia anceps,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Desmarestia antarctica,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Desmarestia menziesii,"Huang, Y. M., McClintock, J. B., Amsler, C. D., Peters, K. J., & Baker, B. J. (2006). Feeding rates of common Antarctic gammarid amphipods on ecologically important sympatric macroalgae. Journal of In vitro observation Marine Biology and Ecology, 329(1), 55-65.",In vitro observation
Gondogeneia antarctica,Adenocystis utricularis,"Iken, K., Amsler, C. D., Amsler, M. O., McClintock, J. B., & Baker, B. J. (2009). Field studies on deterrent properties of phlorotannins in Antarctic brown algae. Botanica Marina, 52(6), 547-557.",In vitro observation
Gondogeneia antarctica,Desmarestia anceps,"Iken, K., Amsler, C. D., Amsler, M. O., McClintock, J. B., & Baker, B. J. (2009). Field studies on deterrent properties of phlorotannins in Antarctic brown algae. Botanica Marina, 52(6), 547-557.",In vitro observation
Gondogeneia antarctica,Desmarestia menziesii,"Iken, K., Amsler, C. D., Amsler, M. O., McClintock, J. B., & Baker, B. J. (2009). Field studies on deterrent properties of phlorotannins in Antarctic brown algae. Botanica Marina, 52(6), 547-557.",In vitro observation
Gondogeneia antarctica,Palmaria decipiens,"Aumack, C. F., Amsler, C. D., McClintock, J. B., & Baker, B. J. (2011). Changes in amphipod densities among macroalgal habitats in day versus night collections along the Western Antarctic Peninsula. Marine biology, 158(8), 1879-1885.",In vitro observation
Gondogeneia antarctica,Palmaria decipiens,"Bucolo, P., Amsler, C. D., McClintock, J. B., & Baker, B. J. (2011). Palatability of the Antarctic rhodophyte Palmaria decipiens (Reinsch) RW Ricker and its endo/epiphyte Elachista antarctica Skottsberg to sympatric amphipods. Journal of In vitro observation Marine Biology and Ecology, 396(2), 202-206.",In vitro observation
Haliclonidae,Benthic diatoms,L. Torre (pers. comm.),In situ observation
Haliclonidae,Fresh detritus,L. Torre (pers. comm.),In situ observation
Harpagifer antarcticus ,Nereidae ,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Margarella antarctica,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Eatoniella sp.,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Nacella concinna,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Neobuccinum eatoni,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Gondogeneia antarctica,"Casaux, R. (1998). The contrasting diet of Harpagifer antarcticus (Notothenioidei, Harpagiferidae) at two localities of the South Shetland Islands, Antarctica. Polar Biology, 19(4), 283-285.",Gut content
Harpagifer antarcticus ,Nereidae ,"Barrera-Oro, E. (2003). Analysis of dietary overlap in Antarctic fish (Notothenioidei) from the South Shetland Islands: no evidence of food competition. Polar Biology, 26(10), 631-637.",Gut content
Harpagifer antarcticus ,Euphausia superba,"Barrera-Oro, E. (2003). Analysis of dietary overlap in Antarctic fish (Notothenioidei) from the South Shetland Islands: no evidence of food competition. Polar Biology, 26(10), 631-637.",Gut content
Harpagifer antarcticus ,Gondogeneia antarctica,"Barrera-Oro, E. (2003). Analysis of dietary overlap in Antarctic fish (Notothenioidei) from the South Shetland Islands: no evidence of food competition. Polar Biology, 26(10), 631-637.",Gut content
Hydrozoa,Zooplankton,"Gili, J. M., Alvà, V., Coma, R., Orejas, C., Pagès, F., Ribes, M., ... & Hughes, R. G. (1998). The impact of small benthic passive suspension feeders in shallow marine ecosystems: the hydroids as an example. Zoologische verhandelingen, 323(8), 99-105.",In vitro observation
Hyperiids,Euphausia superba,"Pakhomov, E. A., & Perissinotto, R. (1996). Trophodynamics of the hyperiid amphipod Themisto gaudichaudi in the South Georgia region during late austral summer. Marine ecology progress series. Oldendorf, 134(1), 91-100.",Gut content
Hyperiids,Copepods,"Pakhomov, E. A., & Perissinotto, R. (1996). Trophodynamics of the hyperiid amphipod Themisto gaudichaudi in the South Georgia region during late austral summer. Marine ecology progress series. Oldendorf, 134(1), 91-100.",Gut content
Hyperiids,Zooplankton,"Pakhomov, E. A., & Perissinotto, R. (1996). Trophodynamics of the hyperiid amphipod Themisto gaudichaudi in the South Georgia region during late austral summer. Marine ecology progress series. Oldendorf, 134(1), 91-100.",Gut content
Hippomedon kergueleni,Necromass,"Jażdżewska, A. (2009). Antarctic necrophagous lysianassoids from a stranded fur seal carcass. Polish Polar Research, 30(1), 29-36.",Gut content
Laevilacunaria antarctica,Curdiea racovitzae,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Georgiella confluens ,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Gigartina skottsbergii,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Iridaea cordata,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Palmaria decipiens,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Plocamium cartilagineum,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Adenocystis utricularis,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Desmarestia menziesii,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laevilacunaria antarctica,Monostroma hariotii,"Iken, K. (1999). Feeding ecology of the Antarctic herbivorous gastropod Laevilacunaria antarctica Martens. Journal of In vitro observation Marine Biology and Ecology, 236(1), 133-148.",In vitro observation
Laternulla elliptica,Phytoplankton,"Ahn, I. Y. (1993). Enhanced particle flux through the biodeposition by the Antarctic suspension-feeding bivalve Laternula elliptica in Marian Cove, King George Island. Journal of In vitro observation Marine Biology and Ecology, 171(1), 75-90.",In vitro observation
Laternulla elliptica,Aged detritus,"Ahn, I. Y. (1993). Enhanced particle flux through the biodeposition by the Antarctic suspension-feeding bivalve Laternula elliptica in Marian Cove, King George Island. Journal of In vitro observation Marine Biology and Ecology, 171(1), 75-90.",In vitro observation
Lepidonotothen nudifrons,Nereidae ,"Daniels, R. A. (1982). Feeding ecology of some fishes of the Antarctic Peninsula. Fish Bull, 80(3), 575-588.",Gut content
Lepidonotothen nudifrons,Euphausia superba,"Daniels, R. A. (1982). Feeding ecology of some fishes of the Antarctic Peninsula. Fish Bull, 80(3), 575-590",Gut content
Lepidonotothen nudifrons,Euphausia superba,"Fanta, E., & Meyer, A. A. (1998). Behavioural strategies for feeding of six species of the Antarctic fish family Notothenioidei (Pisces, Notothenioidei) in a tank. ANTARCTIC RECORD-TOKYO-, 42, 227-243.",In vitro observation
Lepidonotothen nudifrons,Waldeckia obesa,"Fanta, E., & Meyer, A. A. (1998). Behavioural strategies for feeding of six species of the Antarctic fish family Notothenioidei (Pisces, Notothenioidei) in a tank. ANTARCTIC RECORD-TOKYO-, 42, 227-243.",In vitro observation
Lepidonotothen nudifrons,Euphausia superba,"Kock, K. H., Barrera-Oro, E., Belchier, M., Collins, M. A., Duhamel, G., Hanchet, S., ... & Williams, R. (2012). The role of fish as predators of krill (Euphausia superba) and other pelagic resources in the Southern Ocean. CCAMLR Science, 19, 115-169",Gut content
Malacobelmnon daytoni,Phytoplankton,"Best, B. A. (1988). Passive suspension feeding in a sea pen: effects of ambient flow on volume flow rate and filtering efficiency. The Biological Bulletin, 175(3), 332-342.",In vitro observation
Malacobelmnon daytoni,Zooplankton,"Kozloff, E. N. (1990). Invertebrates. Saunders College Pub..",In situ observation
Mycale acerata,Benthic diatoms,L. Torre (pers. comm.),In situ observation
Mycale acerata,Fresh detritus,L. Torre (pers. comm.),In situ observation
Nacella concinna,Benthic diatoms,"Brêthes, J. C., Ferreyra, G., & De La Vega, S. (1994). Distribution, growth and reproduction of the limpet Nacella (Patinigera) concinna (Strebel 1908) in relation to potential food availability, in Esperanza Bay (Antarctic Peninsula). Polar Biology, 14(3), 161-170.",In situ observation
Nacella concinna,Epiphytic diatoms,"Davenport, J. O. H. N. (1997). Comparisons of the biology of the intertidal subantarctic limpets Nacella concinna and Kerguelenella lateralis. Journal of Molluscan Studies, 63(1), 39-48",Gut content
Nacella concinna,Ascoseira mirabilis ,"Iken, K., Quartino, M. L., Barrera-Oro, E., Palermo, J., Wiencke, C., & Brey, T. (1998). Trophic relations between macroalgae and herbivores. Reports on polar and marine research, 299, 258-262.",Gut content
Nacella concinna,Ulothrix sp.,"Iken, K., Quartino, M. L., Barrera-Oro, E., Palermo, J., Wiencke, C., & Brey, T. (1998). Trophic relations between macroalgae and herbivores. Reports on polar and marine research, 299, 258-262.",Gut content
Neobuccinum eatoni,Necromass,"Presler, P. (1986). Necrophagous invertebrates of the Admiralty Bay of King George Island(South Shetland Islands, Antarctica). Polish Polar Research/Polskie Badania Polarne, 7(1), 25-61.",In vitro observation
Neobuccinum eatoni,Laternulla elliptica,L. Torre (pers. comm.),In situ observation
Notothenia coriiceps,Desmarestia antarctica,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Desmarestia menziesii,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Margarella antarctica,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Nacella concinna,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Paradexamine sp.,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Eurymera monticulosa,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
Notothenia coriiceps,Pontogeneiella sp.,"Richardson, M. G. (1975). The dietary composition of some Antarctic fish. Br Antarct Surv Bull, 41(42), 113-120.",Gut content
