Species,trophic,Mass min,Mass max,1700,1925,2000
Killer Whale,2,7500,10000,1,0,0
Baleen Whales,2,250,10000,1,0,1
White Shark,2,680,1150,1,1,0
Blue Shark,2,50,150,1,1,1
Mako Shark,2,60,135,1,1,1
Porbeagal Shark,2,135,135,1,1,1
Coastal Sharks,2,50,150,1,1,0
Cod,2,25,75,1,1,0
Grey Seal,2,100,200,1,0,1
Harp seal,2,140,190,1,0,1
Harbour seals,2,50,150,0,0,0
Walrus,2,1000,2000,1,0,0
Greenland Shark,2,500,1200,1,1,1
Atlantic Salmon,2,5,25,1,0,0
Rock Fish,2,3,5,1,0,1
Sandlance,1,0.050,0.5,1,1,1
Atlantic Herring,1,0.05,0.5,1,1,1
Pollock ,2,3,20,1,1,1
Haddock,2,1,3,1,1,1
White-sided Dolphin,2,200,200,1,1,1
Caplin,1,0.02,0.1,1,1,1
Shrimp,1,0.02,0.1,1,1,1
Lobster,1,0.5,5,1,1,1
Snow crab,1,0.2,1,1,1,1